기준연월,시·도코드,시·도명,시·군·구 코드,시·군·구 명,체류강도_지표코드,체류특성,체류특성_강도지수,,"※ ‘체류특성_강도지수’는 
실제 방문자 수 또는 비율(%)을 의미하는 값이 아니라, 
타권역 방문자 비중·숙박 비중·숙박일수별 방문자 수 
등을 기반으로 산출된 관광 체류 강도 세부 지표값입니다. 
따라서 수치가 높을수록 해당 체류 특성이 
강하게 나타나는 것으로 해석합니다.",,,,,
202503,26,부산광역시,26320,북구,2103,1박 방문자수,64.68,,,,,,,
202503,26,부산광역시,26320,북구,2104,2박 방문자수,69.28,,,,,,,
202503,26,부산광역시,26320,북구,2105,3박 방문자수,80.83,,,,,,,
202503,26,부산광역시,26350,해운대구,2101,타권역 방문자 비중,72.61,,,,,,,
202503,26,부산광역시,26350,해운대구,2102,숙박 비중,69.35,,,,,,,
202503,26,부산광역시,26350,해운대구,2103,1박 방문자수,107.98,,,,,,,
202503,26,부산광역시,26350,해운대구,2104,2박 방문자수,108.69,,,,,,,
202503,26,부산광역시,26350,해운대구,2105,3박 방문자수,108.25,,,,,,,
202503,26,부산광역시,26380,사하구,2101,타권역 방문자 비중,59.06,,,,,,,
202503,26,부산광역시,26380,사하구,2102,숙박 비중,66.38,,,,,,,
202503,26,부산광역시,26380,사하구,2103,1박 방문자수,66.44,,,,,,,
202503,26,부산광역시,26380,사하구,2104,2박 방문자수,70.37,,,,,,,
202503,26,부산광역시,26380,사하구,2105,3박 방문자수,90.54,,,,,,,
202503,26,부산광역시,26410,금정구,2101,타권역 방문자 비중,76.1,,,,,,,
202503,26,부산광역시,26410,금정구,2102,숙박 비중,60.75,,,,,,,
202503,26,부산광역시,26410,금정구,2103,1박 방문자수,64.65,,,,,,,
202503,26,부산광역시,26410,금정구,2104,2박 방문자수,68.76,,,,,,,
202503,26,부산광역시,26410,금정구,2105,3박 방문자수,95.4,,,,,,,
202503,26,부산광역시,26440,강서구,2101,타권역 방문자 비중,92.89,,,,,,,
202503,26,부산광역시,26440,강서구,2102,숙박 비중,55.18,,,,,,,
202503,26,부산광역시,26440,강서구,2103,1박 방문자수,65.13,,,,,,,
202503,26,부산광역시,26440,강서구,2104,2박 방문자수,65.62,,,,,,,
202503,26,부산광역시,26440,강서구,2105,3박 방문자수,73.93,,,,,,,
202503,26,부산광역시,26470,연제구,2101,타권역 방문자 비중,90.55,,,,,,,
202503,26,부산광역시,26470,연제구,2102,숙박 비중,59.84,,,,,,,
202503,26,부산광역시,26470,연제구,2103,1박 방문자수,65.9,,,,,,,
202503,26,부산광역시,26470,연제구,2104,2박 방문자수,68.94,,,,,,,
202503,26,부산광역시,26470,연제구,2105,3박 방문자수,79.94,,,,,,,
202503,26,부산광역시,26500,수영구,2101,타권역 방문자 비중,84.96,,,,,,,
202503,26,부산광역시,26500,수영구,2102,숙박 비중,64.67,,,,,,,
202503,26,부산광역시,26500,수영구,2103,1박 방문자수,77.32,,,,,,,
202503,26,부산광역시,26500,수영구,2104,2박 방문자수,77.71,,,,,,,
202503,26,부산광역시,26500,수영구,2105,3박 방문자수,79.75,,,,,,,
202503,26,부산광역시,26530,사상구,2101,타권역 방문자 비중,81.24,,,,,,,
202503,26,부산광역시,26530,사상구,2102,숙박 비중,61.12,,,,,,,
202503,26,부산광역시,26530,사상구,2103,1박 방문자수,66.41,,,,,,,
202503,26,부산광역시,26530,사상구,2104,2박 방문자수,68.19,,,,,,,
202503,26,부산광역시,26530,사상구,2105,3박 방문자수,81.59,,,,,,,
202503,26,부산광역시,26710,기장군,2101,타권역 방문자 비중,85.48,,,,,,,
202503,26,부산광역시,26710,기장군,2102,숙박 비중,59.46,,,,,,,
202503,26,부산광역시,26710,기장군,2103,1박 방문자수,71.9,,,,,,,
202503,26,부산광역시,26710,기장군,2104,2박 방문자수,70.11,,,,,,,
202503,26,부산광역시,26710,기장군,2105,3박 방문자수,76.95,,,,,,,
202504,26,부산광역시,26110,중구,2101,타권역 방문자 비중,113.45,,,,,,,
