연월,행정구,외국인 방문자 수,외지인 방문자 수,현지인 방문자 수,전체 수
202405,동래구,15848,3416168,4062348,7494364
202405,부산진구,189625,6223924,6417859,12831408
202405,북구,12066,2117423,4806896,6936385
202405,사상구,43020,2512052,2991065,5546137
202405,사하구,127130,2057328,4302634,6487092
202405,서구,147064,1801198,1667890,3616152
202405,수영구,98391,3319620,2729615,6147626
202405,연제구,29933,2680422,1834952,4545307
202405,영도구,170505,1645119,2006648,3822272
202405,중구,209118,3549906,1235392,4994416
202405,해운대구,272057,5801642,7427217,13500916
202406,강서구,333332,3288313,2452236,6073881
202406,금정구,23143,2342382,3724189,6089714
202406,기장군,113102,3252837,2880311,6246250
202406,남구,132405,2433428,4188496,6754329
202406,동구,171022,3026674,1364486,4562182
202406,동래구,14342,3211061,3940422,7165825
202406,부산진구,179927,5663690,6164410,12008027
202406,북구,13425,1965310,4650796,6629531
202406,사상구,34001,2296581,2848300,5178882
202406,사하구,114402,1895586,4075218,6085206
202406,서구,130796,1693206,1577583,3401585
202406,수영구,86592,3015194,2629809,5731595
202406,연제구,28519,2500344,1743094,4271957
202406,영도구,164736,1523630,1894914,3583280
202406,중구,197355,3227480,1170722,4595557
202406,해운대구,260748,5650904,7207501,13119153
202407,강서구,346011,3428873,2619774,6394658
202407,금정구,24581,2292185,3647080,5963846
202407,기장군,113766,3299412,2947130,6360308
202407,남구,119978,2480474,4189112,6789564
202407,동구,149390,3119910,1428102,4697402
202407,동래구,16533,3294778,4141154,7452465
202407,부산진구,173120,5907300,6294544,12374964
202407,북구,15895,1984500,4737999,6738394
202407,사상구,39278,2300312,2865950,5205540
202407,사하구,111532,1994576,4139863,6245971
202407,서구,131557,1746801,1620101,3498459
202407,수영구,83419,3319228,2690894,6093541
202407,연제구,28400,2583063,1739626,4351089
202407,영도구,163816,1504895,1904158,3572869
202407,중구,186278,3238924,1224528,4649730
202407,해운대구,271871,6023087,7400141,13695099
202408,강서구,381877,3494757,2459300,6335934
202408,금정구,32621,2328770,3462162,5823553
202408,기장군,119300,3646562,2861033,6626895
202408,남구,154822,2499070,4050868,6704760
202408,동구,176037,3255462,1363890,4795389
202408,동래구,17006,3321234,4049644,7387884
202408,부산진구,208619,5917118,6080666,12206403
202408,북구,17635,2010802,4591083,6619520
202408,사상구,41327,2305474,2732212,5079013
202408,사하구,114577,1976020,4022487,6113084
202408,서구,136226,1785728,1558694,3480648
202408,수영구,95457,3594070,2629900,6319427
202408,연제구,32942,2601445,1679363,4313750
202408,영도구,182615,1622652,1843359,3648626
202408,중구,214292,3336588,1169018,4719898
202408,해운대구,293357,6469078,7221414,13983849
202409,강서구,342623,3513534,2482494,6338651
202409,금정구,42534,2850897,3459376,6352807
202409,기장군,112738,3641946,2836330,6591014
202409,남구,150683,2860641,3995285,7006609
202409,동구,155890,3084837,1358102,4598829
