행정구,기준연월,업종대분류,현지인 소비액(만원),외지인 소비액(만원),외국인 소비액(만원)
금정구,202311,여가서비스업,12736,128458,1676
금정구,202311,여행업,0,3917,0
금정구,202311,운송업,344,335695,1419
금정구,202311,의료웰니스업,9765,82882,2576
금정구,202312,쇼핑업,116249,841909,14850
금정구,202312,숙박업,4322,10674,206
금정구,202312,식음료업,0,1110000,11731
금정구,202312,여가서비스업,9268,111049,2241
금정구,202312,여행업,521,8430,0
금정구,202312,운송업,0,357116,969
금정구,202312,의료웰니스업,19909,103671,1634
금정구,202401,쇼핑업,82070,762709,8821
금정구,202401,숙박업,2916,10689,122
금정구,202401,식음료업,0,929690,7255
금정구,202401,여가서비스업,9673,96346,755
금정구,202401,여행업,3544,11029,0
금정구,202401,운송업,499,302756,839
금정구,202401,의료웰니스업,23266,87113,1466
금정구,202402,쇼핑업,83243,741776,10235
금정구,202402,숙박업,2670,10522,145
금정구,202402,식음료업,0,953560,5693
금정구,202402,여가서비스업,10670,102491,728
금정구,202402,여행업,1147,11239,0
금정구,202402,운송업,35,292382,756
금정구,202402,의료웰니스업,7672,81744,979
금정구,202403,쇼핑업,121708,885651,19653
금정구,202403,숙박업,2545,13701,299
금정구,202403,식음료업,0,1140000,12254
금정구,202403,여가서비스업,11853,147158,1800
금정구,202403,여행업,0,10208,0
금정구,202403,운송업,0,325386,1131
금정구,202403,의료웰니스업,8528,98611,1341
금정구,202404,쇼핑업,108621,805989,18444
금정구,202404,숙박업,2735,11529,226
금정구,202404,식음료업,0,1050000,13495
금정구,202404,여가서비스업,10797,124868,660
금정구,202404,여행업,0,8989,0
금정구,202404,운송업,279,314747,1435
금정구,202404,의료웰니스업,6601,77428,1829
금정구,202405,쇼핑업,108235,847170,17834
금정구,202405,숙박업,3127,12786,219
금정구,202405,식음료업,0,1240000,15956
금정구,202405,여가서비스업,16785,168862,2141
금정구,202405,여행업,0,13723,0
금정구,202405,운송업,451,351900,1427
금정구,202405,의료웰니스업,8003,82894,1939
금정구,202406,쇼핑업,96328,778431,16406
금정구,202406,숙박업,2721,10235,211
금정구,202406,식음료업,0,1090000,12199
금정구,202406,여가서비스업,16383,155629,1836
금정구,202406,여행업,58,2275,0
금정구,202406,운송업,0,322332,1314
금정구,202406,의료웰니스업,6967,90837,2338
금정구,202407,쇼핑업,89822,752939,15135
금정구,202407,숙박업,3473,10409,255
금정구,202407,식음료업,0,1010000,10980
금정구,202407,여가서비스업,15185,144116,2076
금정구,202407,여행업,146,8284,0
금정구,202407,운송업,278,338970,1546
금정구,202407,의료웰니스업,10661,86464,2898
금정구,202408,쇼핑업,79683,781602,17157
금정구,202408,숙박업,3801,13438,910
금정구,202408,식음료업,0,1060000,10545
금정구,202408,여가서비스업,14515,163519,2478
금정구,202408,여행업,114,8851,0
금정구,202408,운송업,0,349357,1364
금정구,202408,의료웰니스업,7433,85209,1554
금정구,202409,쇼핑업,87288,886219,24652
금정구,202409,숙박업,3002,12156,199
금정구,202409,식음료업,0,1060000,16628
금정구,202409,여가서비스업,14224,152095,2393
금정구,202409,여행업,0,3375,192
금정구,202409,운송업,0,317142,1371
금정구,202409,의료웰니스업,6372,84958,1742
금정구,202410,쇼핑업,107060,874890,25248
금정구,202410,숙박업,3337,10987,472
금정구,202410,식음료업,0,1080000,22190
금정구,202410,여가서비스업,16955,154526,2712
금정구,202410,여행업,952,6894,200
금정구,202410,운송업,283,301846,1822
금정구,202410,의료웰니스업,9055,78822,2236
금정구,202411,쇼핑업,120149,867031,22283
금정구,202411,숙박업,2735,11723,460
금정구,202411,식음료업,0,1060000,19234
금정구,202411,여가서비스업,16304,139590,2463
금정구,202411,여행업,0,15048,11
금정구,202411,운송업,0,346283,1619
금정구,202411,의료웰니스업,9884,81383,1961
금정구,202412,쇼핑업,102481,818821,20218
금정구,202412,숙박업,2798,10031,447
금정구,202412,식음료업,0,1080000,17213
금정구,202412,여가서비스업,14000,113979,1911
금정구,202412,여행업,720,7188,0
금정구,202412,운송업,732,338991,1311
금정구,202412,의료웰니스업,11701,87541,2829
금정구,202501,쇼핑업,82235,832676,12196
금정구,202501,숙박업,3348,8390,513
