기준연월,시군구명,일평균_이용금액(만원),일평균_이용건수,건당_평균이용금액(만원)
202407,부산진구,906508.0402,261457,3.46714
202407,북구,518814.3375,155876,3.328379
202407,사상구,409658.0191,123147,3.326577
202407,사하구,442658.9383,147088,3.009484
202407,서구,214733.596,55098,3.897303
202407,수영구,381465.9528,116571,3.272392
202407,연제구,415719.7965,119376,3.48244
202407,영도구,128661.477,46328,2.777186
202407,중구,226101.9403,62575,3.613295
202407,해운대구,903929.3659,219139,4.124913
202408,강서구,457247.0927,98386,4.647481
202408,금정구,393342.0584,118172,3.328555
202408,기장군,454196.7644,105233,4.316106
202408,남구,412446.8588,135355,3.047149
202408,동구,207262.3129,73116,2.834705
202408,동래구,581240.9233,155108,3.74733
202408,부산진구,898431.4915,265056,3.389591
202408,북구,531086.8082,158395,3.352927
202408,사상구,415995.4996,124610,3.33838
202408,사하구,450377.9242,148564,3.031541
202408,서구,215123.703,56480,3.808847
202408,수영구,382249.0229,118433,3.227555
202408,연제구,416523.1386,120661,3.452011
202408,영도구,132943.4196,48109,2.763379
202408,중구,228842.4352,65434,3.497302
202408,해운대구,945915.6287,232885,4.061728
202409,강서구,581751.6023,94593,6.150049
202409,금정구,410339.4829,122334,3.354255
202409,기장군,491732.1395,103762,4.739039
202409,남구,421607.7913,137930,3.056679
202409,동구,228634.7539,72865,3.137786
202409,동래구,587344.5924,151837,3.868257
202409,부산진구,920320.692,258473,3.560607
202409,북구,558426.8776,154831,3.606687
202409,사상구,433272.0503,125303,3.457795
202409,사하구,451409.3914,145900,3.093964
202409,서구,214154.5907,55390,3.866304
202409,수영구,369552.0489,109301,3.381049
202409,연제구,447385.7461,116697,3.833738
202409,영도구,135450.2655,47321,2.862371
202409,중구,241632.7797,62038,3.894916
202409,해운대구,948777.2544,212856,4.457367
202410,강서구,581222.4081,94858,6.127289
202410,금정구,380635.2858,122457,3.108318
202410,기장군,470705.425,99898,4.71186
202410,남구,403636.6244,137572,2.934003
202410,동구,220787.8084,71530,3.086646
202410,동래구,559776.5664,146043,3.832957
202410,부산진구,878652.8962,255533,3.43851
202410,북구,526021.5246,153954,3.416745
202410,사상구,407424.845,123934,3.287434
202410,사하구,429686.9292,144065,2.982591
202410,서구,213546.199,55184,3.869712
202410,수영구,351055.233,107419,3.268093
202410,연제구,407214.9301,115586,3.523047
202410,영도구,125255.1964,45966,2.724953
202410,중구,235835.3544,61767,3.818145
202410,해운대구,890946.3992,208958,4.263758
202411,강서구,751986.2649,98142,7.662227
202411,금정구,422917.7647,131683,3.211635
202411,기장군,501944.985,103451,4.852007
202411,남구,439426.4119,147636,2.976418
202411,동구,232189.2802,75355,3.081272
202411,동래구,599036.352,155560,3.850838
202411,부산진구,981560.2876,273804,3.584901
202411,북구,540749.744,158278,3.416456
202411,사상구,432965.0553,130694,3.312815
202411,사하구,463975.0723,153051,3.031506
202411,서구,223118.7249,57426,3.885326
202411,수영구,373826.991,114532,3.263952
202411,연제구,428900.4159,121046,3.543285
202411,영도구,133091.8625,48257,2.75798
202411,중구,257172.778,66139,3.888368
202411,해운대구,961689.3997,220933,4.352855
202412,강서구,627008.2322,95603,6.558458
202412,금정구,420377.8537,124790,3.368682
202412,기장군,523405.3054,100738,5.195709
202412,남구,451427.4078,142867,3.159774
202412,동구,237311.9855,72245,3.284822
202412,동래구,630381.2007,153021,4.119573
202412,부산진구,1024828.7108,269147,3.807691
202412,북구,560500.3531,154754,3.62188
202412,사상구,447215.3811,126129,3.545698
202412,사하구,472975.3606,147092,3.215507
202412,서구,229922.1236,55436,4.147524
202412,수영구,391988.5983,112902,3.471937
202412,연제구,446939.6077,117622,3.799796
202412,영도구,141090.3463,47484,2.971324
202412,중구,278936.2981,69410,4.018676
202412,해운대구,1026842.2016,217766,4.715347
202501,강서구,463689.4643,92147,5.032063
202501,금정구,399754.1881,115253,3.468493
202501,기장군,506080.2583,100316,5.044861
202501,남구,426802.9617,131013,3.257715
202501,동구,220916.0168,69455,3.180707
202501,동래구,634546.3788,152019,4.174125
202501,부산진구,1003926.4213,264154,3.800535
202501,북구,588117.799,156136,3.766702
202501,사상구,430904.8083,119949,3.5924
202501,사하구,462225.4624,141109,3.275663
202501,서구,219181.2773,52385,4.184047
202501,수영구,388151.3579,114470,3.390857
202501,연제구,435881.9717,115228,3.782778
202501,영도구,139356.3488,45844,3.039795
202501,중구,261310.4607,65380,3.996795
202501,해운대구,1008145.8805,211674,4.762729
202502,강서구,423456.2323,86026,4.922422
202502,금정구,395102.4594,115630,3.416955
202502,기장군,448020.6158,95839,4.674721
202502,남구,419869.4235,133252,3.150943
202502,동구,228475.4492,72349,3.157963
202502,동래구,609666.722,151395,4.026994
202502,부산진구,980165.0267,265657,3.689589
202502,북구,537906.888,153348,3.507753
202502,사상구,405403.8711,118648,3.416862
202502,사하구,449127.6452,140309,3.20099
202502,서구,222898.3722,53471,4.168584
202502,수영구,369464.5346,113667,3.250412
202502,연제구,422142.1842,116587,3.620834
202502,영도구,128693.861,44637,2.883121
202502,중구,236829.5059,63603,3.723559
202502,해운대구,1001490.4865,212181,4.719982
202503,강서구,416864.612,87945,4.74006
202503,금정구,402607.843,129295,3.11387
202503,기장군,466073.6213,99812,4.669515
