연월,지역,원업종,6대업종,6대업종매핑신뢰도,폐업수,분석단위,지역합계검증,모델사용권장,원천발행연월,원천값유형,중복검증원천수
202411,부산광역시 합계,"의료, 정밀, 광학기기 및 시계제조업",,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,의복 및 모피 제품 제조업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,인적용역,,,97,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,자동차 및 트레일러 제조업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,자동차관련 소매,운송업,부분,9,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,"전기, 가스 및 수도사업",,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,제1차 금속산업 제조업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,조립금속제품 제조업(기계 및 장비 제외),,,14,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,"출판, 인쇄 및 기록매체 제조업",,,7,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,통신업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,부산광역시 합계,화합물 및 화학 제품 제조업,,,0,부산업종,해당없음,부산업종추세,202511,전년동월,1
202411,강서구,부동산업,서비스업,부분,29,지역업종,통과,지역업종학습,202511,전년동월,1
202411,강서구,소매업,쇼핑업,중간,48,지역업종,통과,지역업종학습,202511,전년동월,1
202411,강서구,음식점업,식음료업,높음,27,지역업종,통과,지역업종학습,202511,전년동월,1
202411,금정구,부동산업,서비스업,부분,17,지역업종,통과,지역업종학습,202511,전년동월,1
202411,금정구,소매업,쇼핑업,중간,50,지역업종,통과,지역업종학습,202511,전년동월,1
202411,금정구,음식점업,식음료업,높음,53,지역업종,통과,지역업종학습,202511,전년동월,1
202411,기장군,부동산업,서비스업,부분,21,지역업종,통과,지역업종학습,202511,전년동월,1
202411,기장군,소매업,쇼핑업,중간,56,지역업종,통과,지역업종학습,202511,전년동월,1
202411,기장군,음식점업,식음료업,높음,39,지역업종,통과,지역업종학습,202511,전년동월,1
202411,남구,부동산업,서비스업,부분,25,지역업종,통과,지역업종학습,202511,전년동월,1
202411,남구,소매업,쇼핑업,중간,69,지역업종,통과,지역업종학습,202511,전년동월,1
202411,남구,음식점업,식음료업,높음,42,지역업종,통과,지역업종학습,202511,전년동월,1
202411,동구,부동산업,서비스업,부분,19,지역업종,통과,지역업종학습,202511,전년동월,1
202411,동구,소매업,쇼핑업,중간,39,지역업종,통과,지역업종학습,202511,전년동월,1
202411,동구,음식점업,식음료업,높음,29,지역업종,통과,지역업종학습,202511,전년동월,1
202411,동래구,부동산업,서비스업,부분,20,지역업종,통과,지역업종학습,202511,전년동월,1
202411,동래구,소매업,쇼핑업,중간,79,지역업종,통과,지역업종학습,202511,전년동월,1
202411,동래구,음식점업,식음료업,높음,46,지역업종,통과,지역업종학습,202511,전년동월,1
202411,부산진구,부동산업,서비스업,부분,57,지역업종,통과,지역업종학습,202511,전년동월,1
202411,부산진구,소매업,쇼핑업,중간,144,지역업종,통과,지역업종학습,202511,전년동월,1
202411,부산진구,음식점업,식음료업,높음,86,지역업종,통과,지역업종학습,202511,전년동월,1
202411,북구,부동산업,서비스업,부분,15,지역업종,통과,지역업종학습,202511,전년동월,1
202411,북구,소매업,쇼핑업,중간,79,지역업종,통과,지역업종학습,202511,전년동월,1
202411,북구,음식점업,식음료업,높음,37,지역업종,통과,지역업종학습,202511,전년동월,1
202411,사상구,부동산업,서비스업,부분,20,지역업종,통과,지역업종학습,202511,전년동월,1
