기준연월,행정동,업종대분류명,외지인 소비액(만원),현지인 소비액(만원)
202203,서구,여가서비스업,35169,473
202203,서구,여행업,8,115
202203,서구,운송업,221011,0
202203,서구,의료웰니스업,15400,0
202203,수영구,쇼핑업,917774,4109
202203,수영구,숙박업,35578,4544
202203,수영구,식음료업,1270000,0
202203,수영구,여가서비스업,52368,915
202203,수영구,운송업,244102,151
202203,수영구,의료웰니스업,70221,145
202203,연제구,쇼핑업,1680000,9956
202203,연제구,숙박업,14863,3783
202203,연제구,식음료업,733774,0
202203,연제구,여가서비스업,36122,916
202203,연제구,여행업,1438,0
202203,연제구,운송업,675906,86
202203,연제구,의료웰니스업,67554,0
202203,영도구,쇼핑업,172263,3381
202203,영도구,숙박업,20751,2509
202203,영도구,식음료업,284399,0
202203,영도구,여가서비스업,12464,530
202203,영도구,여행업,8,0
202203,영도구,운송업,61090,54
202203,영도구,의료웰니스업,6810,796
202203,중구,쇼핑업,1230000,43765
202203,중구,숙박업,32566,2546
202203,중구,식음료업,868491,0
202203,중구,여가서비스업,29152,360
202203,중구,여행업,4629,0
202203,중구,운송업,31922,0
202203,중구,의료웰니스업,61328,0
202203,해운대구,쇼핑업,9570000,4540000
202203,해운대구,숙박업,655935,100096
202203,해운대구,식음료업,1890000,0
202203,해운대구,여가서비스업,145781,21409
202203,해운대구,여행업,1623,20
202203,해운대구,운송업,557955,176
202203,해운대구,의료웰니스업,165145,2195
202204,강서구,쇼핑업,961642,25565
202204,강서구,숙박업,38562,3618
202204,강서구,식음료업,857160,0
202204,강서구,여가서비스업,90074,4156
202204,강서구,여행업,719,0
202204,강서구,운송업,3510000,2017
202204,강서구,의료웰니스업,26343,432
202204,금정구,쇼핑업,870144,123157
202204,금정구,숙박업,12717,4091
202204,금정구,식음료업,937493,0
202204,금정구,여가서비스업,138723,12613
202204,금정구,여행업,588,0
202204,금정구,운송업,424139,157
202204,금정구,의료웰니스업,72060,7000
202204,기장군,쇼핑업,4430000,24642
202204,기장군,숙박업,387235,8954
202204,기장군,식음료업,1600000,0
202204,기장군,여가서비스업,511080,25739
202204,기장군,여행업,168,322
202204,기장군,운송업,965877,527
202204,기장군,의료웰니스업,29636,4473
202204,남구,쇼핑업,661301,13976
202204,남구,숙박업,26014,6289
202204,남구,식음료업,831935,0
202204,남구,여가서비스업,88488,2146
202204,남구,여행업,5013,0
202204,남구,운송업,1370000,0
202204,남구,의료웰니스업,58904,2881
202204,동구,쇼핑업,821218,25562
202204,동구,숙박업,44787,1617
202204,동구,식음료업,697047,0
202204,동구,여가서비스업,105106,4
202204,동구,여행업,7741,0
202204,동구,운송업,751514,77
202204,동구,의료웰니스업,33328,0
202204,동래구,쇼핑업,1290000,133669
202204,동래구,숙박업,81111,15421
202204,동래구,식음료업,1330000,0
202204,동래구,여가서비스업,68964,2920
202204,동래구,여행업,1710,429
202204,동래구,운송업,416256,121
202204,동래구,의료웰니스업,101926,3771
202204,부산진구,쇼핑업,3690000,663139
202204,부산진구,숙박업,118509,15203
202204,부산진구,식음료업,2820000,0
202204,부산진구,여가서비스업,121967,4210
202204,부산진구,여행업,24440,287
202204,부산진구,운송업,349183,242
202204,부산진구,의료웰니스업,281448,0
202204,북구,쇼핑업,6330000,60658
202204,북구,숙박업,24756,8155
202204,북구,식음료업,599148,0
202204,북구,여가서비스업,34667,7963
202204,북구,여행업,0,268
202204,북구,운송업,699628,29
202204,북구,의료웰니스업,43050,0
202204,사상구,쇼핑업,985844,9051
202204,사상구,숙박업,25698,6287
202204,사상구,식음료업,838435,0
202204,사상구,여가서비스업,45123,666
202204,사상구,여행업,211,0
202204,사상구,운송업,1430000,684
202204,사상구,의료웰니스업,45001,639
202204,사하구,쇼핑업,660596,13136
202204,사하구,숙박업,12872,6332
202204,사하구,식음료업,661222,0
202204,사하구,여가서비스업,31799,1674
202204,사하구,운송업,667912,159
202204,사하구,의료웰니스업,45993,0
202204,서구,쇼핑업,388571,2494
202204,서구,숙박업,34486,2461
202204,서구,식음료업,437145,0
202204,서구,여가서비스업,52052,847
202204,서구,여행업,46,136
202204,서구,운송업,229053,0
202204,서구,의료웰니스업,19376,0
202204,수영구,쇼핑업,917930,4834
202204,수영구,숙박업,59616,5703
202204,수영구,식음료업,1800000,0
202204,수영구,여가서비스업,67613,763
202204,수영구,운송업,301016,301
202204,수영구,의료웰니스업,79410,120
202204,연제구,쇼핑업,1500000,12941
202204,연제구,숙박업,19018,4565
202204,연제구,식음료업,984393,0
202204,연제구,여가서비스업,42935,799
202204,연제구,운송업,753559,91
202204,연제구,의료웰니스업,66862,0
202204,영도구,쇼핑업,168052,3841
202204,영도구,숙박업,28733,2723
202204,영도구,식음료업,376838,0
202204,영도구,여가서비스업,14195,1057
202204,영도구,여행업,41,0
202204,영도구,운송업,75236,50
202204,영도구,의료웰니스업,9874,979
202204,중구,쇼핑업,1400000,48204
202204,중구,숙박업,50449,1746
202204,중구,식음료업,1200000,0
202204,중구,여가서비스업,33583,239
202204,중구,여행업,2866,30
202204,중구,운송업,37485,0
202204,중구,의료웰니스업,57620,0
202204,해운대구,쇼핑업,9770000,4950000
202204,해운대구,숙박업,858150,116844
202204,해운대구,식음료업,2690000,0
202204,해운대구,여가서비스업,209662,25610
202204,해운대구,여행업,59,0
202204,해운대구,운송업,744005,1165
202204,해운대구,의료웰니스업,191853,2140
202205,강서구,쇼핑업,1040000,22993
202205,강서구,숙박업,41366,5623
202205,강서구,식음료업,931750,0
202205,강서구,여가서비스업,117908,9484
202205,강서구,운송업,4140000,1899
202205,강서구,의료웰니스업,29882,404
202205,금정구,쇼핑업,909918,130832
202205,금정구,숙박업,13077,4015
202205,금정구,식음료업,1120000,0
202205,금정구,여가서비스업,164719,20147
202205,금정구,여행업,1634,0
202205,금정구,운송업,473734,0
202205,금정구,의료웰니스업,77833,11235
202205,기장군,쇼핑업,4620000,22921
202205,기장군,숙박업,452373,11615
202205,기장군,식음료업,1870000,0
202205,기장군,여가서비스업,585123,35391
202205,기장군,여행업,268,232
202205,기장군,운송업,1100000,486
202205,기장군,의료웰니스업,30480,3064
202205,남구,쇼핑업,724065,15786
202205,남구,숙박업,39769,5074
202205,남구,식음료업,945338,0
202205,남구,여가서비스업,104266,5873
202205,남구,여행업,2775,427
202205,남구,운송업,1640000,0
