연월,행정구,평균이용금액,평균이용건수,건당평균이용금액,30일기준이용금액
202507,기장군,46009.678,10707,4,134
202507,남구,12491.223529411765,4296,3,95
202507,동구,9537.908333333333,3313,2,79
202507,동래구,23528.763076923075,6540,3,103
202507,부산진구,24463.468,7392,3,94
202507,북구,21687.606153846154,6527,2,85
202507,사상구,17412.318333333333,5477,3,90
202507,사하구,14446.155625,4892,2,87
202507,서구,9155.503076923078,2354,3,105
202507,수영구,19140.316,6392,3,90
202507,연제구,17692.5925,5335,3,97
202507,영도구,6157.110909090909,2303,2,75
202507,중구,13483.18,3960,3,92
202507,해운대구,26585.492222222223,6651,3,101
202508,강서구,24837.445,5938,4,137
202508,금정구,11685.683125,3838,3,96
202508,기장군,46786.35,11117,4,133
202508,남구,11854.369411764706,4206,3,91
202508,동구,9102.271666666666,3315,2,76
202508,동래구,22232.386923076927,6455,3,98
202508,부산진구,23117.5925,7340,3,90
202508,북구,20681.92538461538,6379,2,82
202508,사상구,16406.149166666666,5335,2,87
202508,사하구,13844.20875,4743,2,85
202508,서구,8434.405384615386,2279,3,100
202508,수영구,18964.905,6487,2,89
202508,연제구,16400.62,5152,3,92
202508,영도구,5903.76,2264,2,73
202508,중구,13108.28888888889,4031,2,88
202508,해운대구,26062.555,6688,3,99
202509,강서구,28208.8125,6035,5,151
202509,금정구,13213.591875,4298,3,102
202509,기장군,48149.234000000004,10509,4,147
202509,남구,13503.908823529413,4579,3,97
202509,동구,9973.977499999999,3266,2,82
202509,동래구,24397.779230769233,6515,3,107
202509,부산진구,25770.0345,7476,3,97
202509,북구,22971.816923076924,6557,2,89
202509,사상구,18761.826666666664,5674,3,94
202509,사하구,15151.0575,4974,3,91
202509,서구,9755.251538461538,2456,3,109
202509,수영구,19745.15,6156,3,96
202509,연제구,18991.283333333333,5354,3,105
202509,영도구,6412.276363636364,2332,2,78
202509,중구,14463.203333333333,3955,3,97
202509,해운대구,27517.826666666668,6448,3,106
202510,강서구,26586.395,5898,4,142
202510,금정구,12219.154375,4079,3,99
202510,기장군,53067.9,11044,5,152
202510,남구,12144.388235294118,4320,3,93
202510,동구,9419.755,3127,2,83
202510,동래구,22768.905384615387,6282,3,103
202510,부산진구,24537.2475,7313,3,95
202510,북구,22250.201538461537,6439,2,87
202510,사상구,17282.319166666668,5389,3,91
202510,사하구,14173.636875,4761,2,88
202510,서구,8772.403076923076,2296,3,104
202510,수영구,18953.534999999996,6166,3,93
202510,연제구,17107.5425,5071,3,98
202510,영도구,6083.202727272727,2254,2,78
202510,중구,14853.769999999999,4161,3,95
202510,해운대구,26492.893333333333,6328,3,103
202511,강서구,28288.997499999998,5988,5,155
202511,금정구,13512.84625,4333,3,104
202511,기장군,52374.25,10772,5,154
202511,남구,13241.950588235295,4558,3,96
202511,동구,10207.9075,3256,2,85
202511,동래구,24433.98153846154,6576,3,107
202511,부산진구,26215.250500000002,7616,3,97
202511,북구,22441.653846153848,6510,2,88
202511,사상구,17990.00333333333,5545,3,92
202511,사하구,14872.985625,4857,3,91
202511,서구,9206.503846153846,2382,3,105
202511,수영구,19723.358,6218,3,95
202511,연제구,18069.433333333334,5334,3,99
202511,영도구,6221.796363636363,2274,2,78
202511,중구,15002.921111111113,4037,3,100
202511,해운대구,28328.412777777776,6472,3,107
202512,강서구,31472.96875,6066,5,168
202512,금정구,13421.493125,4188,3,110
202512,기장군,51356.924,10488,5,156
202512,남구,14042.61117647059,4564,3,100
202512,동구,10731.410833333333,3291,3,93
202512,동래구,26343.47923076923,6568,3,114
202512,부산진구,28066.0605,7657,3,104
202512,북구,22105.533846153845,6231,3,92
202512,사상구,19225.078333333335,5457,3,100
202512,사하구,15380.9375,4777,3,95
202512,서구,10429.414615384616,2344,3,118
202512,수영구,21373.017,6145,3,103
202512,연제구,19266.519166666665,5299,3,106
202512,영도구,6584.295454545455,2268,2,82
202512,중구,16508.161111111112,4237,3,103
202512,해운대구,30489.541666666668,6577,3,111
