연월,행정구,업종대분류,평균이용금액(만원),평균이용건수
202303,사상구,쇼핑업,6854,2155
202303,사상구,여가서비스업,5282,908
202303,사상구,여행/숙박업,1279,714
202303,사상구,운송업,1169,131
202303,사상구,음식/주점,8735,2705
202303,사상구,음식료품,1952,775
202303,사상구,의료휄니스업,5998,1032
202303,사하구,비관광,1370,46
202303,사하구,쇼핑업,7888,2331
202303,사하구,여가서비스업,5680,986
202303,사하구,여행/숙박업,1428,764
202303,사하구,운송업,1159,147
202303,사하구,음식/주점,9379,2975
202303,사하구,음식료품,2094,825
202303,사하구,의료휄니스업,6525,1157
202303,서구,비관광,565,18
202303,서구,쇼핑업,3150,888
202303,서구,여가서비스업,1998,375
202303,서구,여행/숙박업,704,377
202303,서구,운송업,315,48
202303,서구,음식/주점,3888,1213
202303,서구,음식료품,858,301
202303,서구,의료휄니스업,3160,465
202303,수영구,비관광,1362,48
202303,수영구,쇼핑업,8532,2330
202303,수영구,여가서비스업,5446,918
202303,수영구,여행/숙박업,1640,703
202303,수영구,운송업,934,134
202303,수영구,음식/주점,9848,3231
202303,수영구,음식료품,2093,875
202303,수영구,의료휄니스업,6818,1057
202303,연제구,비관광,1626,58
202303,연제구,쇼핑업,7776,2198
202303,연제구,여가서비스업,4864,897
202303,연제구,여행/숙박업,1428,649
202303,연제구,운송업,932,135
202303,연제구,음식/주점,9316,3079
202303,연제구,음식료품,2206,942
202303,연제구,의료휄니스업,6429,1040
202303,영도구,비관광,523,18
202303,영도구,쇼핑업,3597,1057
202303,영도구,여가서비스업,2574,438
202303,영도구,여행/숙박업,777,489
202303,영도구,운송업,291,65
202303,영도구,음식/주점,4695,1378
202303,영도구,음식료품,901,346
202303,영도구,의료휄니스업,3365,577
202303,중구,비관광,195,6
202303,중구,쇼핑업,1772,553
202303,중구,여가서비스업,1129,206
202303,중구,여행/숙박업,538,253
202303,중구,운송업,128,24
202303,중구,음식/주점,2378,745
202303,중구,음식료품,458,183
202303,중구,의료휄니스업,1515,251
202303,해운대구,비관광,2376,77
202303,해운대구,쇼핑업,11435,2689
202303,해운대구,여가서비스업,6838,1103
202303,해운대구,여행/숙박업,2411,784
202303,해운대구,운송업,1739,192
202303,해운대구,음식/주점,11424,3717
202303,해운대구,음식료품,2498,1011
202303,해운대구,의료휄니스업,8615,1217
202304,강서구,비관광,2178,80
202304,강서구,쇼핑업,7805,1982
202304,강서구,여가서비스업,6066,850
202304,강서구,여행/숙박업,1336,355
202304,강서구,운송업,2186,133
202304,강서구,음식/주점,8188,2652
202304,강서구,음식료품,1811,757
202304,강서구,의료휄니스업,4754,858
202304,금정구,비관광,1073,39
202304,금정구,쇼핑업,6353,1799
202304,금정구,여가서비스업,4213,747
202304,금정구,여행/숙박업,1205,480
202304,금정구,운송업,1127,104
202304,금정구,음식/주점,7510,2513
202304,금정구,음식료품,1750,754
202304,금정구,의료휄니스업,4833,825
202304,기장군,비관광,3542,127
202304,기장군,쇼핑업,14849,3699
202304,기장군,여가서비스업,10576,1573
202304,기장군,여행/숙박업,2031,699
202304,기장군,운송업,2987,324
202304,기장군,음식/주점,15072,4856
202304,기장군,음식료품,3405,1272
202304,기장군,의료휄니스업,9165,1643
202304,남구,비관광,1216,50
202304,남구,쇼핑업,7912,2122
202304,남구,여가서비스업,5411,877
202304,남구,여행/숙박업,1661,645
202304,남구,운송업,1700,139
202304,남구,음식/주점,8708,2877
202304,남구,음식료품,1908,797
202304,남구,의료휄니스업,6139,950
202304,동구,비관광,359,13
202304,동구,쇼핑업,3065,882
202304,동구,여가서비스업,2115,348
202304,동구,여행/숙박업,643,344
202304,동구,운송업,471,54
202304,동구,음식/주점,3651,1166
202304,동구,음식료품,737,299
202304,동구,의료휄니스업,2506,412
202304,동래구,비관광,2127,76
202304,동래구,쇼핑업,10172,2721
202304,동래구,여가서비스업,6304,1115
202304,동래구,여행/숙박업,1792,765
202304,동래구,운송업,1985,165
202304,동래구,음식/주점,11397,3732
202304,동래구,음식료품,2618,1098
202304,동래구,의료휄니스업,7876,1277
202304,부산진구,비관광,1180,44
202304,부산진구,쇼핑업,8024,2350
202304,부산진구,여가서비스업,5294,950
202304,부산진구,여행/숙박업,1596,785
202304,부산진구,운송업,1411,142
202304,부산진구,음식/주점,9691,3152
202304,부산진구,음식료품,2038,894
202304,부산진구,의료휄니스업,6592,1060
202304,북구,비관광,1673,64
202304,북구,쇼핑업,9364,2645
202304,북구,여가서비스업,7043,1160
202304,북구,여행/숙박업,1578,747
202304,북구,운송업,2023,175
202304,북구,음식/주점,11111,3576
202304,북구,음식료품,2556,1121
202304,북구,의료휄니스업,6992,1236
202304,사상구,비관광,1063,40
202304,사상구,쇼핑업,7450,2301
202304,사상구,여가서비스업,5542,951
202304,사상구,여행/숙박업,1427,755
202304,사상구,운송업,1602,135
202304,사상구,음식/주점,9349,2906
202304,사상구,음식료품,2057,836
202304,사상구,의료휄니스업,6186,1085
202304,사하구,비관광,1394,49
202304,사하구,쇼핑업,8495,2479
202304,사하구,여가서비스업,5864,1018
202304,사하구,여행/숙박업,1577,798
202304,사하구,운송업,1712,154
202304,사하구,음식/주점,10012,3175
202304,사하구,음식료품,2255,884
202304,사하구,의료휄니스업,6791,1202
202304,서구,비관광,440,16
202304,서구,쇼핑업,3297,917
202304,서구,여가서비스업,2114,376
202304,서구,여행/숙박업,734,381
202304,서구,운송업,551,49
202304,서구,음식/주점,4059,1257
202304,서구,음식료품,870,314
202304,서구,의료휄니스업,2988,470
202304,수영구,비관광,1267,45
202304,수영구,쇼핑업,8994,2404
202304,수영구,여가서비스업,5426,927
202304,수영구,여행/숙박업,1718,702
202304,수영구,운송업,2078,137
202304,수영구,음식/주점,10074,3314
202304,수영구,음식료품,2226,902
202304,수영구,의료휄니스업,6711,1059
202304,연제구,비관광,1495,54
202304,연제구,쇼핑업,8346,2298
202304,연제구,여가서비스업,5128,913
202304,연제구,여행/숙박업,1556,662
202304,연제구,운송업,1201,138
202304,연제구,음식/주점,9610,3175
202304,연제구,음식료품,2291,973
202304,연제구,의료휄니스업,6481,1055
202304,영도구,비관광,503,18
202304,영도구,쇼핑업,3896,1133
202304,영도구,여가서비스업,2673,461
202304,영도구,여행/숙박업,880,510
202304,영도구,운송업,572,69
202304,영도구,음식/주점,5019,1480
202304,영도구,음식료품,998,374
202304,영도구,의료휄니스업,3582,599
202304,중구,비관광,201,7
202304,중구,쇼핑업,2024,584
202304,중구,여가서비스업,1172,214
202304,중구,여행/숙박업,477,265
202304,중구,운송업,193,26
202304,중구,음식/주점,2413,767
202304,중구,음식료품,558,190
202304,중구,의료휄니스업,1635,260
202304,해운대구,비관광,2065,70
202304,해운대구,쇼핑업,12261,2826
202304,해운대구,여가서비스업,7113,1139
202304,해운대구,여행/숙박업,2461,799
202304,해운대구,운송업,2621,196
202304,해운대구,음식/주점,12031,3907
202304,해운대구,음식료품,2572,1054
202304,해운대구,의료휄니스업,8819,1258
202305,강서구,비관광,2251,79
202305,강서구,쇼핑업,7900,2002
202305,강서구,여가서비스업,6096,850
202305,강서구,여행/숙박업,1332,344
202305,강서구,운송업,3503,137
202305,강서구,음식/주점,8158,2654
202305,강서구,음식료품,1859,794
202305,강서구,의료휄니스업,5047,863
202305,금정구,비관광,1190,39
202305,금정구,쇼핑업,6370,1803
202305,금정구,여가서비스업,4150,747
202305,금정구,여행/숙박업,1290,467
202305,금정구,운송업,1434,104
202305,금정구,음식/주점,7492,2491
202305,금정구,음식료품,1752,758
202305,금정구,의료휄니스업,4863,828
202305,기장군,비관광,3469,120
202305,기장군,쇼핑업,14690,3730
202305,기장군,여가서비스업,10403,1576
202305,기장군,여행/숙박업,2067,673
202305,기장군,운송업,4545,321
202305,기장군,음식/주점,15165,4859
202305,기장군,음식료품,3473,1307
202305,기장군,의료휄니스업,9696,1626
202305,남구,비관광,1207,47
202305,남구,쇼핑업,8044,2134
202305,남구,여가서비스업,5395,882
202305,남구,여행/숙박업,1713,621
202305,남구,운송업,1988,142
202305,남구,음식/주점,8719,2853
202305,남구,음식료품,1958,811
202305,남구,의료휄니스업,6207,957
202305,동구,비관광,353,13
202305,동구,쇼핑업,3157,892
202305,동구,여가서비스업,2011,351
202305,동구,여행/숙박업,690,331
202305,동구,운송업,740,55
202305,동구,음식/주점,3613,1160
202305,동구,음식료품,745,304
202305,동구,의료휄니스업,2596,415
202305,동래구,비관광,2209,77
202305,동래구,쇼핑업,10328,2743
202305,동래구,여가서비스업,6338,1110
202305,동래구,여행/숙박업,2007,741
202305,동래구,운송업,1671,164
202305,동래구,음식/주점,11372,3706
202305,동래구,음식료품,2723,1121
202305,동래구,의료휄니스업,8241,1294
202305,부산진구,비관광,1177,44
202305,부산진구,쇼핑업,8122,2378
202305,부산진구,여가서비스업,5276,953
202305,부산진구,여행/숙박업,1641,756
202305,부산진구,운송업,1681,140
202305,부산진구,음식/주점,9605,3130
202305,부산진구,음식료품,2060,909
202305,부산진구,의료휄니스업,6624,1076
202305,북구,비관광,1709,63
202305,북구,쇼핑업,9364,2653
202305,북구,여가서비스업,6982,1153
202305,북구,여행/숙박업,1629,716
202305,북구,운송업,2893,176
202305,북구,음식/주점,10964,3518
202305,북구,음식료품,2636,1148
202305,북구,의료휄니스업,7312,1253
202305,사상구,비관광,1058,41
202305,사상구,쇼핑업,7511,2311
202305,사상구,여가서비스업,5466,952
202305,사상구,여행/숙박업,1459,718
202305,사상구,운송업,1641,136
202305,사상구,음식/주점,9225,2871
202305,사상구,음식료품,2102,848
202305,사상구,의료휄니스업,6008,1086
202305,사하구,비관광,1397,47
202305,사하구,쇼핑업,8548,2488
202305,사하구,여가서비스업,5788,1016
202305,사하구,여행/숙박업,1638,769
202305,사하구,운송업,2060,154
202305,사하구,음식/주점,9964,3149
202305,사하구,음식료품,2286,894
202305,사하구,의료휄니스업,7049,1217
202305,서구,비관광,521,16
202305,서구,쇼핑업,3356,928
202305,서구,여가서비스업,2071,376
202305,서구,여행/숙박업,778,370
202305,서구,운송업,855,49
202305,서구,음식/주점,4035,1254
202305,서구,음식료품,886,322
202305,서구,의료휄니스업,3045,478
202305,수영구,비관광,1360,46
202305,수영구,쇼핑업,9044,2423
202305,수영구,여가서비스업,5537,921
202305,수영구,여행/숙박업,1829,677
202305,수영구,운송업,3180,139
202305,수영구,음식/주점,10013,3270
202305,수영구,음식료품,2308,922
202305,수영구,의료휄니스업,7215,1080
202305,연제구,비관광,1535,55
202305,연제구,쇼핑업,8230,2298
202305,연제구,여가서비스업,5131,915
202305,연제구,여행/숙박업,1738,641
202305,연제구,운송업,2014,135
202305,연제구,음식/주점,9532,3126
202305,연제구,음식료품,2309,990
202305,연제구,의료휄니스업,6609,1068
202305,영도구,비관광,513,19
202305,영도구,쇼핑업,3967,1143
202305,영도구,여가서비스업,2639,457
202305,영도구,여행/숙박업,921,498
202305,영도구,운송업,800,68
202305,영도구,음식/주점,4992,1474
202305,영도구,음식료품,1030,381
202305,영도구,의료휄니스업,3664,616
202305,중구,비관광,170,7
202305,중구,쇼핑업,2061,589
202305,중구,여가서비스업,1161,215
202305,중구,여행/숙박업,517,253
202305,중구,운송업,520,27
202305,중구,음식/주점,2397,765
202305,중구,음식료품,594,193
202305,중구,의료휄니스업,1624,258
202305,해운대구,비관광,2213,73
202305,해운대구,쇼핑업,12259,2834
202305,해운대구,여가서비스업,7750,1140
202305,해운대구,여행/숙박업,2616,769
202305,해운대구,운송업,2286,194
202305,해운대구,음식/주점,12000,3864
202305,해운대구,음식료품,2656,1062
202305,해운대구,의료휄니스업,8735,1264
202306,강서구,비관광,2330,83
202306,강서구,쇼핑업,7860,2063
202306,강서구,여가서비스업,6075,872
202306,강서구,여행/숙박업,1300,338
202306,강서구,운송업,2244,142
202306,강서구,음식/주점,8143,2764
202306,강서구,음식료품,1846,837
202306,강서구,의료휄니스업,5136,845
202306,금정구,비관광,1137,39
202306,금정구,쇼핑업,6507,1857
202306,금정구,여가서비스업,4297,773
202306,금정구,여행/숙박업,1222,438
202306,금정구,운송업,755,106
202306,금정구,음식/주점,7481,2547
202306,금정구,음식료품,1727,776
202306,금정구,의료휄니스업,4955,832
202306,기장군,비관광,3759,135
202306,기장군,쇼핑업,15289,3850
202306,기장군,여가서비스업,10488,1607
202306,기장군,여행/숙박업,2160,636
202306,기장군,운송업,3084,329
202306,기장군,음식/주점,14910,4987
202306,기장군,음식료품,3680,1388
202306,기장군,의료휄니스업,9580,1622
202306,남구,비관광,1324,50
202306,남구,쇼핑업,8054,2201
202306,남구,여가서비스업,5562,906
202306,남구,여행/숙박업,1720,600
202306,남구,운송업,1584,146
202306,남구,음식/주점,8626,2925
202306,남구,음식료품,1937,837
202306,남구,의료휄니스업,6515,982
202306,동구,비관광,380,13
202306,동구,쇼핑업,3203,920
202306,동구,여가서비스업,2121,363
202306,동구,여행/숙박업,689,312
202306,동구,운송업,726,57
202306,동구,음식/주점,3598,1187
202306,동구,음식료품,763,308
202306,동구,의료휄니스업,2632,423
202306,동래구,비관광,2224,76
202306,동래구,쇼핑업,10503,2820
202306,동래구,여가서비스업,6534,1147
202306,동래구,여행/숙박업,1943,706
202306,동래구,운송업,1706,168
202306,동래구,음식/주점,11320,3817
202306,동래구,음식료품,2716,1160
202306,동래구,의료휄니스업,8350,1292
202306,부산진구,비관광,1232,46
202306,부산진구,쇼핑업,8273,2449
202306,부산진구,여가서비스업,5319,982
202306,부산진구,여행/숙박업,1652,720
202306,부산진구,운송업,1628,147
202306,부산진구,음식/주점,9623,3223
202306,부산진구,음식료품,2084,932
202306,부산진구,의료휄니스업,6859,1075
202306,북구,비관광,1734,63
202306,북구,쇼핑업,9434,2726
202306,북구,여가서비스업,6886,1184
202306,북구,여행/숙박업,1715,673
202306,북구,운송업,1845,183
202306,북구,음식/주점,10887,3617
202306,북구,음식료품,2641,1206
202306,북구,의료휄니스업,7554,1228
202306,사상구,비관광,1111,41
202306,사상구,쇼핑업,7500,2380
202306,사상구,여가서비스업,5560,986
202306,사상구,여행/숙박업,1447,684
202306,사상구,운송업,1841,144
202306,사상구,음식/주점,9282,2962
202306,사상구,음식료품,2110,881
202306,사상구,의료휄니스업,6417,1092
202306,사하구,비관광,1422,49
202306,사하구,쇼핑업,8544,2548
202306,사하구,여가서비스업,5868,1050
202306,사하구,여행/숙박업,1584,718
202306,사하구,운송업,1254,158
202306,사하구,음식/주점,9964,3239
202306,사하구,음식료품,2166,924
202306,사하구,의료휄니스업,6941,1218
202306,서구,비관광,509,17
202306,서구,쇼핑업,3429,955
202306,서구,여가서비스업,2065,386
202306,서구,여행/숙박업,722,348
202306,서구,운송업,355,52
202306,서구,음식/주점,3984,1288
202306,서구,음식료품,884,333
202306,서구,의료휄니스업,3163,485
202306,수영구,비관광,1349,47
202306,수영구,쇼핑업,9244,2502
202306,수영구,여가서비스업,5642,966
202306,수영구,여행/숙박업,1988,654
202306,수영구,운송업,2799,141
202306,수영구,음식/주점,10072,3400
202306,수영구,음식료품,2278,951
202306,수영구,의료휄니스업,7029,1080
202306,연제구,비관광,1578,55
202306,연제구,쇼핑업,8300,2348
202306,연제구,여가서비스업,5384,944
202306,연제구,여행/숙박업,1630,615
202306,연제구,운송업,1544,140
202306,연제구,음식/주점,9464,3206
202306,연제구,음식료품,2312,1024
202306,연제구,의료휄니스업,6571,1059
202306,영도구,비관광,499,19
202306,영도구,쇼핑업,4071,1171
202306,영도구,여가서비스업,2713,472
202306,영도구,여행/숙박업,895,464
202306,영도구,운송업,603,70
202306,영도구,음식/주점,5000,1516
202306,영도구,음식료품,1004,396
202306,영도구,의료휄니스업,3762,614
202306,중구,비관광,205,7
202306,중구,쇼핑업,2125,609
202306,중구,여가서비스업,1175,219
202306,중구,여행/숙박업,508,240
202306,중구,운송업,208,27
202306,중구,음식/주점,2424,793
202306,중구,음식료품,614,199
202306,중구,의료휄니스업,1644,270
202306,해운대구,비관광,2279,74
202306,해운대구,쇼핑업,12896,2918
202306,해운대구,여가서비스업,8264,1170
202306,해운대구,여행/숙박업,2514,738
