행정구명,사업장명,업태구분명,영업상태명,상세영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
기장군,기장 일광 더뮤즈호텔 앤 레지던스,숙박업(생활),영업/정상,영업,202112,,"부산광역시 기장군 일광읍 해송3로 4, 1~11층",,129.2305988,35.26574569
기장군,기장테마모텔,여관업,영업/정상,영업,200510,,부산광역시 기장군 기장읍 차성동로45번길 26,,129.21511278,35.24199752
기장군,기장호텔,여관업,영업/정상,영업,201601,,부산광역시 기장군 기장읍 차성남로 57,,129.21447453,35.24139662
기장군,기장힐,여관업,영업/정상,영업,199412,,부산광역시 기장군 기장읍 차성로404번길 14,,129.2144715,35.2529672
기장군,꿈의궁전,여관업,영업/정상,영업,199703,,부산광역시 기장군 기장읍 기장해안로 546,,129.22705462,35.22212728
기장군,넘버25호텔(No25Hotel),여관업,영업/정상,영업,199410,,부산광역시 기장군 기장읍 차성로 390,,129.21425509,35.25230159
기장군,넘버이십오(기장 연화리점),여관업,영업/정상,영업,199905,,부산광역시 기장군 기장읍 연화길 64,,129.22643557,35.21921849
기장군,뉴시즈 오시리아 레지던스,숙박업(생활),영업/정상,영업,202309,,"부산광역시 기장군 기장읍 동부산관광7로 17, 오시리아 스위첸 마티에 101~104동 86개호",,129.21425754,35.18902891
기장군,늘봄모텔,여관업,영업/정상,영업,198812,,부산광역시 기장군 일광읍 삼성3길 53-3,,129.23401237,35.26585402
기장군,더비치하우스,숙박업 기타,영업/정상,영업,202408,,부산광역시 기장군 장안읍 해맞이로 250-64,,129.26729052,35.32155778
기장군,더원호텔,여관업,영업/정상,영업,201701,,"부산광역시 기장군 정관읍 산단2로 31-4, 1~3층",,129.18432191,35.31643914
기장군,더클럽호텔(기장연화리점),관광호텔,영업/정상,영업,202207,,"부산광역시 기장군 기장읍 연화길 78, 지하1층~지상11층",,129.22706277,35.22055911
기장군,덴 바스타,여관업,영업/정상,영업,201203,,부산광역시 기장군 정관읍 산단2로 31-38,,129.18247315,35.31612236
기장군,드림호텔,숙박업 기타,영업/정상,영업,202603,,부산광역시 기장군 기장읍 차성로 398,,129.21438532,35.25302734
기장군,루이스호텔,여관업,영업/정상,영업,199511,,부산광역시 기장군 기장읍 차성동로45번길 13,,129.21575094,35.24168351
기장군,르컬렉티브 부산기장,숙박업(생활),영업/정상,영업,202205,,"부산광역시 기장군 기장읍 동부산관광7로 17, 오시리아 스위첸 마티에 101~104동 61개호",,129.21425754,35.18902891
기장군,마티에 오시리아,숙박업(생활),영업/정상,영업,202206,,"부산광역시 기장군 기장읍 동부산관광7로 17, 오시리아 스위첸 마티에 105동 1-24층 200호",,129.21425754,35.18902891
기장군,메르벨르A,숙박업(생활),영업/정상,영업,202302,,"부산광역시 기장군 일광읍 장곡길 83-10, B1,1,2,3,4층",,129.2490638,35.30413255
기장군,메르벨르B,숙박업(생활),영업/정상,영업,202302,,"부산광역시 기장군 일광읍 장곡길 83-12, 1,2,3,4층",,129.24889609,35.30400908
기장군,문베이,숙박업(생활),영업/정상,영업,202402,,부산광역시 기장군 일광읍 기장해안로 1322,,129.23341485,35.26173254
기장군,베스트루이스해밀턴호텔 기장점(BEST LOUIS HAMILTON HOTEL),일반호텔,영업/정상,영업,199012,,부산광역시 기장군 기장읍 반송로 1545,,129.20956665,35.24948973
기장군,베스트루이스해밀턴호텔 오션테라스,관광호텔,영업/정상,영업,202203,,부산광역시 기장군 기장읍 연화1길 27,,129.22233758,35.21381767
기장군,뷰모텔,여관업,영업/정상,영업,199201,,부산광역시 기장군 기장읍 연화길 76,,129.22725309,35.22041965
기장군,브라운도트 기장역점,여관업,영업/정상,영업,199703,,부산광역시 기장군 기장읍 반송로 1523,,129.20819364,35.25146897
기장군,브라운도트호텔,관광호텔,영업/정상,영업,201610,,"부산광역시 기장군 정관읍 산단1로 98-31, 1~8층",,129.18170893,35.3160871
기장군,브라운도트호텔 일광해수욕장점,일반호텔,영업/정상,영업,199506,,부산광역시 기장군 일광읍 일역길 95-3,,129.23153871,35.2620219
기장군,브라운도트호텔(기장연화리점),여관업,영업/정상,영업,200808,,부산광역시 기장군 기장읍 연화길 46-5,,129.22575084,35.21788841
기장군,브룩스호텔,일반호텔,영업/정상,영업,200303,,부산광역시 기장군 기장읍 차성로 371,,129.21371857,35.25073314
기장군,비우담,숙박업(생활),영업/정상,영업,202407,,"부산광역시 기장군 장안읍 해맞이로 336, 비우담 전체동",,129.27447629,35.32462297
기장군,빌라드연화,숙박업(생활),영업/정상,영업,202107,,"부산광역시 기장군 기장읍 연화1길 21, 3,4층",,129.22204868,35.21347149
