행정구명,사업장명,업태구분명,영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
부산진구,(주)부산롯데호텔,관광호텔업,영업,199803,,부산광역시 부산진구 가야대로 772 (부전동),부산광역시 부산진구 부전동 503-15,129.0560023,35.15664239
서구,송도비치관광호텔,관광호텔업,휴업,199107,,부산광역시 서구 암남공원로 9 (암남동),부산광역시 서구 암남동 541-6,129.0156228,35.07481874
중구,호텔노아,관광호텔업,영업,198901,,부산광역시 중구 자갈치로47번길 3-1 (남포동5가),부산광역시 중구 남포동5가 80-1,,
동구,라메르관광호텔부산해수랜드(주),관광호텔업,영업,198611,,부산광역시 동구 조방로34번길 9 (범일동),부산광역시 동구 범일동 830-171,129.0623232,35.14060364
해운대구,(주)이랜드파크 켄싱턴리조트 해운대,휴양콘도미니엄업,휴업,198408,,부산광역시 해운대구 해운대해변로 243 (우동),부산광역시 해운대구 우동 628-5,129.1579452,35.15939387
서구,유엔송도호텔,관광호텔업,휴업,198203,,부산광역시 서구 충무대로 16 (암남동),부산광역시 서구 암남동 335-5,129.0162763,35.07720389
해운대구,(주)조선호텔앤리조트 부산,관광호텔업,영업,197804,,부산광역시 해운대구 동백로 67 (우동),부산광역시 해운대구 우동 737,129.1539678,35.15599299
중구,(주)부산관광호텔,관광호텔업,영업,197409,,부산광역시 중구 광복로97번길 23 (동광동2가),부산광역시 중구 동광동2가 12-1,129.0345916,35.10045961
중구,(주)코모도호텔,관광호텔업,영업,197406,,부산광역시 중구 중구로 151 (영주동),부산광역시 중구 영주동 742-13,129.035113,35.10902648
해운대구,(주)파라다이스호텔,관광호텔업,영업,197201,,"부산광역시 해운대구 해운대해변로 296 (중동, 파라다이스 호텔)",부산광역시 해운대구 중동 1408-5,129.165225,35.16016138
동래구,호텔농심,관광호텔업,영업,196304,,부산광역시 동래구 금강공원로20번길 23 (온천동),부산광역시 동래구 온천동 137-7,129.0821428,35.21993003
