행정구명,사업장명,업태구분명,경도,위도
강서구,에코리치부동산공인중개사사무소,부동산,128.9144723,35.14539864
강서구,에코탑공인중개사사무소,부동산,128.9273382,35.20009479
강서구,옥성미공인중개사사무소,부동산,128.9127767,35.16529666
강서구,우보공인중개사사무소,부동산,128.9440765,35.21555266
강서구,월드공인중개사사무소,부동산,128.9371796,35.21829469
강서구,제일원공인중개사사무소,부동산,128.9217864,35.18906246
강서구,제일조아요공인중개사사무소,부동산,128.9217864,35.18906246
강서구,큰마당공인중개사사무소,부동산,128.9207554,35.18770001
강서구,태양공인중개사사무소,부동산,128.9209843,35.18716468
강서구,해동공인중개사사무소,부동산,128.937102,35.21641248
강서구,해인공인중개사사무소,부동산,128.9369036,35.21869563
강서구,행운공인중개사사무소,부동산,128.9126735,35.1641718
강서구,호박공인중개사사무소,부동산,128.9369036,35.21869563
강서구,화성공인중개사사무소,부동산,128.9439053,35.21620426
강서구,황금공인중개사사무소,부동산,128.938934,35.21725728
강서구,황금알공인중개사,부동산,128.9084368,35.19231063
강서구,SK에너지새부산주유소,소매,128.9341369,35.21872185
강서구,강동종합철물,소매,128.9376634,35.21739478
강서구,강동중곡상회,소매,128.9126735,35.1641718
강서구,강동철물,소매,128.9309488,35.20605713
강서구,강서구슈퍼,소매,128.9330277,35.21918115
강서구,강서슈퍼,소매,128.9180509,35.18052439
강서구,강서약초건강원,소매,128.9141941,35.19625704
강서구,거창재활용,소매,128.9129051,35.1918526
강서구,금은동약국,소매,128.9369388,35.21786598
강서구,네오타포린,소매,128.9399599,35.22299034
강서구,노랑바구니,소매,128.9146495,35.14874827
강서구,녹색종묘,소매,128.9208359,35.18692371
강서구,다꽃이네,소매,128.9197383,35.18366081
강서구,담배/전자담배소매업,소매,128.9335899,35.22065911
