행정구명,사업장명,도로명주소,지번주소,경도,위도
기장군,하늘아래 첫 집,부산광역시 기장군 정관읍 병산2로 54-23,,129.1938108,35.34923144
기장군,하바나,부산광역시 기장군 일광읍 일광로 792,,129.261081,35.31148971
동구,하운드호텔 부산역점,부산광역시 동구 중앙대로236번길 9 하운드호텔,,129.0427026,35.11775181
해운대구,하진이네,부산광역시 해운대구 청사포로 151 (중동),,129.1940077,35.16204964
기장군,학리항(학리방파제),부산광역시 기장군 일광면 학리 251-13,,129.2477531,35.25997301
동래구,한국기독교선교박물관,부산광역시 동래구 충렬대로202번가길 24 (수안동),,129.082869,35.20125708
강서구,한그루양과점,부산광역시 강서구 명지국제6로1번길 37 (명지동),,128.8997906,35.09539335
중구,한우뭉치,부산광역시 중구 보수대로 106 (보수동3가),,129.0215937,35.1053167
중구,할매가야밀면,부산광역시 중구 광복로 56-14,,129.0312347,35.09895092
해운대구,할매복국,부산광역시 해운대구 달맞이길62번길 1,,129.1715208,35.16092435
해운대구,할매집,부산광역시 해운대구 중동2로10번길 7,,129.1649018,35.16309621
남구,할매팥빙수단팥죽,부산광역시 남구 용호로90번길 24,,129.1111159,35.12431067
영도구,함지골청소년수련관,부산광역시 영도구 절영로 321,,129.0541778,35.07448741
남구,합천국밥집,부산광역시 남구 용호로 235,,129.1112857,35.11128157
기장군,해광사,부산광역시 기장군 기장읍 기장해안로 340,,129.225762,35.20557592
기장군,해녀천지할매집,부산광역시 기장군 기장읍 연화1길 210,,129.2273615,35.21938273
기장군,해녀할매집,부산광역시 기장군 기장읍 연화2길 30-1,,129.2268505,35.21894944
영도구,해돋이전망대,부산광역시 영도구 해돋이3길 410-1 (청학동),,129.0559689,35.08911081
기장군,해동성취사,부산광역시 기장군 장안읍 고무로 207-4,,129.2752374,35.33862582
기장군,해동횟집,부산광역시 기장군 기장읍 기장해안로 603,,129.2302917,35.22504327
해운대구,해목,부산광역시 해운대구 구남로24번길 8 (우동),,129.1596829,35.16186014
사상구,해물왕창칼국수,부산광역시 사상구 사상로 316,,128.9837923,35.17273623
남구,해성아트베이,부산광역시 남구 분포로 101 (용호동),,129.1153459,35.13274869
부산진구,해신킹크랩,부산광역시 부산진구 전포대로275번길 65 (전포동),,129.0638884,35.16307768
사하구,해안누리길 몰운대길,부산광역시 사하구 다대로 734,,128.961431,35.04983847
해운대구,해운대 관광특구,부산광역시 해운대구,,129.1598691,35.1584383
해운대구,해운대 그린레일웨이 (미포~송정 구간),부산광역시 해운대구 청사포로 116 (중동),,129.1914274,35.16128579
해운대구,해운대 동백섬,부산광역시 해운대구 동백로 67,,129.152181,35.15399144
해운대구,해운대 로데오거리,부산광역시 해운대구 좌동순환로 473,,129.1696431,35.16341293
해운대구,해운대 빛축제,부산광역시 해운대구 해운대해변로 280 (중동),,129.1626049,35.15953545
해운대구,해운대 영무파라드호텔,부산광역시 해운대구 해운대해변로298번길 25 (중동),,129.1665101,35.16093815
해운대구,해운대기와집대구탕,부산광역시 해운대구 달맞이길50번길 4 (중동),,129.1700126,35.1611743
해운대구,해운대리버크루즈,부산광역시 해운대구 수영강변대로 85,,129.1273244,35.1679172
해운대구,해운대문화회관,부산광역시 해운대구 양운로 97 해운대문화회관,,129.1740314,35.17118159
해운대구,해운대센텀호텔,부산광역시 해운대구 센텀3로 20 (우동),,129.1328434,35.16785064
해운대구,해운대온천센터,부산광역시 해운대구 중동2로 16,,129.1645769,35.16344061
해운대구,해운대하얀오징어집,부산광역시 해운대구 달맞이길50번길 4,,129.1700126,35.1611743
기장군,해운대해물칼국수,부산광역시 기장군 장안읍 해맞이로 270,,129.2677218,35.32206087
기장군,"해파랑길(부산,울산 구간)",,,0,0
기장군,해풍가마솥,부산광역시 기장군 기장읍 연화1길 67,,129.2236481,35.21520258
남구,행운인생,부산광역시 남구 고동골로 40 (문현동),,129.0712912,35.14054145
기장군,향유정 속초이모네찜,부산광역시 기장군 기장읍 대변로 105,,129.2241254,35.22847888
기장군,헤이든,부산광역시 기장군 일광읍 문오성길 22,,129.2567156,35.28242066
기장군,헬로메이커,부산광역시 기장군 기장읍 동부산관광6로 59,,129.2127299,35.20463689
기장군,형제가든,부산광역시 기장군 철마면 석길길 16-6,,129.1649012,35.28577135
수영구,호두스테이,부산광역시 수영구 수영로594번길 7 (광안동),,129.1138897,35.15903739
금정구,호텔 프렌치코드,부산광역시 금정구 중앙대로1805번길 16 (구서동),,129.0923198,35.24493847
동구,호텔포레 더 스파,부산광역시 동구 중앙대로296번길 6,,129.044644,35.12261519
중구,호텔포레 프리미어 남포,부산광역시 중구 구덕로 54-1,,129.0297348,35.09842317
금정구,홍법사(부산),부산광역시 금정구 두구로33번길 202 (두구동),,129.111011,35.30404053
수영구,홍순덕 전포양곱창,부산광역시 수영구 과정로16번길 23,,129.1099591,35.17351903
북구,화명수목원,부산광역시 북구 산성로 299,,129.0426767,35.25105354
북구,화명오토캠핑장,부산광역시 북구 낙동강자전거길 1425 (덕천동),,128.9995731,35.21641774
영도구,화복반점,부산광역시 영도구 일산봉로39번길 14 (청학동),,129.0647515,35.08603909
기장군,황금새우기장본점,부산광역시 기장군 일광로 328,,129.2532995,35.2722884
남구,황령산,부산광역시 남구 황령산로 391-39,,129.0827286,35.15793416
남구,황령산 전망대,부산광역시 남구 황령산로 391-39,,129.0827286,35.15793416
기장군,황토마루,부산광역시 기장군 정관읍 병산1길 74-18,,129.1928417,35.34295435
해운대구,흑송 우동소바 송정본점,부산광역시 해운대구 송정광어골로 73 (송정동),,129.1965349,35.17505101
부산진구,희와제과,"부산광역시 부산진구 전포대로246번길 6 (전포동, 동양팰리스)",,129.0658106,35.15843101
중구,18번완당집,부산광역시 중구 비프광장로 31,,129.0284682,35.0989842
동구,1950 태성당,부산광역시 동구 중앙대로296번길 3-5,,129.0446773,35.12331511
부산진구,2025 영호남 전통시장 박람회,부산광역시 부산진구 시민공원로 73 (범전동),,129.0567056,35.16527452
수영구,25의용단,부산광역시 수영구 연수로379번길 42,,129.1138921,35.17194983
동래구,303일상,부산광역시 동래구 차밭골로 36-4 (온천동),,129.0777663,35.217008
동래구,303화덕 동래온천장점,부산광역시 동래구 차밭골로 37 (온천동),,129.0774746,35.21714132
사상구,77돌곱창,부산광역시 사상구 괘감로 98,,128.9851204,35.15722133
영도구,AJ하우스(AJ House),부산광역시 영도구 태종로 40,,129.0365232,35.09450707
수영구,JSTAY,부산광역시 수영구 남천바다로 31-1,,129.1140539,35.1488052
서구,La Casa del Sol (라까사델솔 게스트하우스),부산광역시 서구 부용로 14-36,,129.0167912,35.1080052
수영구,The Park Guest House,부산광역시 수영구 광남로 151,,129.1177867,35.15487126
남구,UN조각공원,부산광역시 남구 대연동,,129.097628,35.12973759
수영구,[백년가게]옥미아구찜,부산광역시 수영구 망미번영로55번길 35,,129.108837,35.17373009
해운대구,[부산 갈맷길] 2코스 2구간,부산광역시 해운대구 우동,,129.1325241,35.16182631
해운대구,[해파랑길] 2코스,부산광역시 해운대구 달맞이길62번길 33-1,,129.170682,35.15845517
