행정구명,사업장명,업태구분명,영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
부산진구,리조트인더시티,숙박업 기타,영업,202405,,"부산광역시 부산진구 중앙대로680번길 23, 4층 (부전동)",부산광역시 부산진구 부전동 198-3 4층 전체,129.0605632,35.15360174
수영구,스테이 너울,숙박업(생활),영업,202405,,"부산광역시 수영구 민락수변로17번길 9, 4층 (민락동)",부산광역시 수영구 민락동 181-176,129.1244888,35.15447483
해운대구,더플레이스34,숙박업(생활),영업,202404,,"부산광역시 해운대구 구남로21번길 6, 1306호 (중동)",부산광역시 해운대구 중동 1381-5,129.1607989,35.16227696
기장군,오데이즈 오시리아 레지던스,숙박업(생활),영업,202404,,"부산광역시 기장군 기장읍 동부산관광7로 17, 오시리아 스위첸 마티에 101~104동 33개호",부산광역시 기장군 기장읍 시랑리 736 오시리아 스위첸 마티에,129.2142575,35.18902891
해운대구,에이원위드해운대,숙박업(생활),영업,202404,,"부산광역시 해운대구 구남로21번길 6, 6층 공용부분 일부호 (중동)",부산광역시 해운대구 중동 1381-5,129.1607989,35.16227696
해운대구,호텔롯데 L7해운대,관광호텔,영업,202404,,부산광역시 해운대구 해운대로570번길 55 (우동),부산광역시 해운대구 우동 626-2,129.1601162,35.16033535
부산진구,플레이리움,숙박업 기타,영업,202403,,"부산광역시 부산진구 서전로10번길 33, 4층 (부전동)",부산광역시 부산진구 부전동 168-141 4층 전체,129.0599666,35.15639435
수영구,보다스테이 6호점(캠핑),숙박업(생활),영업,202403,,"부산광역시 수영구 민락로19번길 21, 4층 (민락동)",부산광역시 수영구 민락동 173-15,129.1215672,35.15633195
수영구,로하 풀빌라,숙박업(생활),영업,202403,,"부산광역시 수영구 민락수변로 105, 바다산책프라자 6층 (민락동)",부산광역시 수영구 민락동 110-48 바다산책프라자,129.1320741,35.15473437
수영구,스테이레이지모닝(Stay Lazy Morning),숙박업(생활),영업,202402,,"부산광역시 수영구 광안해변로 235, 6층 (민락동)",부산광역시 수영구 민락동 179-3,129.1197474,35.15475895
수영구,온유지스테이,숙박업(생활),영업,202402,,"부산광역시 수영구 광안해변로 235, 8~9층 (민락동)",부산광역시 수영구 민락동 179-3,129.1197474,35.15475895
해운대구,호텔 마리쏠,일반호텔,영업,202402,,"부산광역시 해운대구 구남로 37, 해운대르와지르호텔 (중동)",부산광역시 해운대구 중동 1392-166 해운대르와지르호텔,129.1613792,35.1610335
기장군,문베이,숙박업(생활),영업,202402,,부산광역시 기장군 일광읍 기장해안로 1322,부산광역시 기장군 일광읍 삼성리 115-46,129.2334149,35.26173254
해운대구,라비앙즈,숙박업(생활),영업,202402,,"부산광역시 해운대구 구남로21번길 6, 3204호 (중동)",부산광역시 해운대구 중동 1381-5,129.1607989,35.16227696
기장군,흘로 부산(Hlow Busan),숙박업(생활),영업,202402,,부산광역시 기장군 기장읍 대변3길 11,부산광역시 기장군 기장읍 대변리 266,129.2314009,35.22317272
수영구,루미나 더 광안,숙박업(생활),영업,202402,,"부산광역시 수영구 광남로142번길 9, 2층 (광안동)",부산광역시 수영구 광안동 191-14,129.1178391,35.15390357
중구,덕성민박,숙박업(생활),영업,202401,,"부산광역시 중구 동광길 71-1, 1~3층 (동광동5가)",부산광역시 중구 동광동5가 27-29,129.0348371,35.10596374
