영업상태,점포명,업종대분류,업종중분류,업종명,행정구,인허가일,폐업일,경도,위도
영업/정상,케이엠지엠(KMGM) 광안점,외식,분식전문점,기타 간이 음식점업,수영구,202205,,129.1238225,35.15553654
영업/정상,푸라닭 부산거제점,외식,한식음식점,한식 일반 음식점업,연제구,202205,,129.0684973,35.18896495
영업/정상,고래맥주창고 반송점,외식,분식전문점,기타 간이 음식점업,해운대구,202206,,129.1488552,35.22501568
영업/정상,노리터,외식,호프·간이주점,기타 주점업,해운대구,202206,,129.1767331,35.1725574
영업/정상,임사부,외식,한식음식점,한식 일반 음식점업,해운대구,202206,,129.1730349,35.17535877
영업/정상,오호리준 광안리 브릿지점,외식,일식음식점,일식 음식점업,수영구,202206,,129.1182868,35.15439748
영업/정상,밀탑 광안점,외식,분식전문점,기타 간이 음식점업,수영구,202206,,129.1153065,35.14998991
영업/정상,팔사족발,외식,분식전문점,기타 간이 음식점업,사하구,202206,,128.9712004,35.05588274
영업/정상,광명수산,외식,한식음식점,한식 일반 음식점업,사하구,202206,,128.9870348,35.08287404
영업/정상,순살만공격 청학점,외식,호프·간이주점,기타 주점업,영도구,202206,,129.0655335,35.09242583
영업/정상,프레드피자 오시리아점,외식,양식음식점,서양식 음식점업,기장군,202204,,129.214258,35.18902833
영업/정상,그랩샌드,외식,한식음식점,한식 일반 음식점업,연제구,202205,,129.0813478,35.18478667
영업/정상,카레온 토곡점,외식,한식음식점,한식 일반 음식점업,수영구,202206,,129.106935,35.17888522
영업/정상,타코비 광안점,외식,분식전문점,기타 간이 음식점업,수영구,202206,,129.1177575,35.15488895
영업/정상,핍스플로어,외식,양식음식점,서양식 음식점업,해운대구,202206,,129.1979107,35.17847182
영업/정상,피제리아 라르도,외식,양식음식점,서양식 음식점업,해운대구,202206,,129.1462915,35.15419237
영업/정상,츄플러스,외식,분식전문점,기타 간이 음식점업,해운대구,202206,,129.2022422,35.18078322
영업/정상,아즈매부엌,외식,한식음식점,한식 일반 음식점업,중구,202205,,129.0286978,35.10155633
영업/정상,차돌풍 일광신도시점,외식,한식음식점,한식 일반 음식점업,기장군,202206,,129.2267088,35.26479479
영업/정상,왓더버거,외식,양식음식점,서양식 음식점업,기장군,202206,,129.1762519,35.32171055
영업/정상,쭈니네 키친스토리,외식,분식전문점,기타 간이 음식점업,기장군,202206,,129.1742368,35.32677998
영업/정상,그릭하다 일광점,외식,분식전문점,기타 간이 음식점업,기장군,202206,,129.223419,35.26654059
영업/정상,포항식당,외식,한식음식점,한식 일반 음식점업,금정구,202206,,129.0891959,35.27026515
영업/정상,연(然),외식,일식음식점,일식 음식점업,금정구,202206,,129.0909241,35.22783763
영업/정상,큐 식당,외식,한식음식점,한식 일반 음식점업,서구,202206,,129.0213705,35.10106494
영업/정상,끼니 매운갈비찜,외식,한식음식점,한식 일반 음식점업,부산진구,202206,,129.0682571,35.15918088
영업/정상,고관족발,외식,한식음식점,한식 일반 음식점업,부산진구,202206,,129.0609801,35.1621555
영업/정상,둥지밀면,외식,분식전문점,기타 간이 음식점업,부산진구,202206,,129.0415252,35.16526554
영업/정상,와썹버거&파스타,외식,분식전문점,기타 간이 음식점업,연제구,202205,,129.0751078,35.19093358
영업/정상,칭구회포차,외식,분식전문점,기타 간이 음식점업,연제구,202206,,129.0870433,35.18487393
영업/정상,옥탑 캠핑 포차,외식,한식음식점,한식 일반 음식점업,연제구,202206,,129.0852103,35.18751536
