기준연월,지역,외국인 방문자 수,구분
202408,중구,214292,외국인 방문자
202408,서구,136226,외국인 방문자
202408,동구,176037,외국인 방문자
202408,영도구,182615,외국인 방문자
202408,부산진구,208619,외국인 방문자
202408,동래구,17006,외국인 방문자
202408,남구,154822,외국인 방문자
202408,북구,17635,외국인 방문자
202408,해운대구,293357,외국인 방문자
202408,사하구,114577,외국인 방문자
202408,금정구,32621,외국인 방문자
202408,강서구,381877,외국인 방문자
202408,연제구,32942,외국인 방문자
202408,수영구,95457,외국인 방문자
202408,사상구,41327,외국인 방문자
202408,기장군,119300,외국인 방문자
202407,중구,186278,외국인 방문자
202407,서구,131557,외국인 방문자
202407,동구,149390,외국인 방문자
202407,영도구,163816,외국인 방문자
202407,부산진구,173120,외국인 방문자
202407,동래구,16533,외국인 방문자
202407,남구,119978,외국인 방문자
202407,북구,15895,외국인 방문자
202407,해운대구,271871,외국인 방문자
202407,사하구,111532,외국인 방문자
202407,금정구,24581,외국인 방문자
202407,강서구,346011,외국인 방문자
202407,연제구,28400,외국인 방문자
202407,수영구,83419,외국인 방문자
202407,사상구,39278,외국인 방문자
202407,기장군,113766,외국인 방문자
202405,중구,209118,외국인 방문자
202405,서구,147064,외국인 방문자
202405,동구,178297,외국인 방문자
202405,영도구,170505,외국인 방문자
202405,부산진구,189625,외국인 방문자
202405,동래구,15848,외국인 방문자
202405,남구,124441,외국인 방문자
202405,북구,12066,외국인 방문자
202405,해운대구,272057,외국인 방문자
202405,사하구,127130,외국인 방문자
202405,금정구,31791,외국인 방문자
202405,강서구,349481,외국인 방문자
202405,연제구,29933,외국인 방문자
202405,수영구,98391,외국인 방문자
202405,사상구,43020,외국인 방문자
202405,기장군,110974,외국인 방문자
202404,중구,241691,외국인 방문자
202404,서구,147528,외국인 방문자
202404,동구,210478,외국인 방문자
202404,영도구,187650,외국인 방문자
202404,부산진구,208190,외국인 방문자
202404,동래구,17856,외국인 방문자
202404,남구,145150,외국인 방문자
202404,북구,16197,외국인 방문자
202404,해운대구,296971,외국인 방문자
202404,사하구,132692,외국인 방문자
202404,금정구,35653,외국인 방문자
202404,강서구,360517,외국인 방문자
202404,연제구,29782,외국인 방문자
202404,수영구,106726,외국인 방문자
202404,사상구,50067,외국인 방문자
202404,기장군,126289,외국인 방문자
202403,중구,217015,외국인 방문자
202403,서구,129426,외국인 방문자
202403,동구,172728,외국인 방문자
202403,영도구,160801,외국인 방문자
202403,부산진구,187815,외국인 방문자
202403,동래구,16379,외국인 방문자
202403,남구,132228,외국인 방문자
202403,북구,16479,외국인 방문자
202403,해운대구,228220,외국인 방문자
202403,사하구,114407,외국인 방문자
202403,금정구,36418,외국인 방문자
202403,강서구,338612,외국인 방문자
202403,연제구,30579,외국인 방문자
202403,수영구,76471,외국인 방문자
202403,사상구,52997,외국인 방문자
202403,기장군,102731,외국인 방문자
202402,중구,131961,외국인 방문자
