기준연월,기초지자체,방문자 수,구분
202403,연제구,2825879,외지인 방문자
202403,영도구,1657222,외지인 방문자
202403,중구,3421628,외지인 방문자
202403,해운대구,5483394,외지인 방문자
202404,강서구,3386050,외지인 방문자
202404,금정구,2266922,외지인 방문자
202404,기장군,3141824,외지인 방문자
202404,남구,2311456,외지인 방문자
202404,동구,2773894,외지인 방문자
202404,동래구,3035994,외지인 방문자
202404,부산진구,5562456,외지인 방문자
202404,북구,1886773,외지인 방문자
202404,사상구,2264136,외지인 방문자
202404,사하구,1780054,외지인 방문자
202404,서구,1597810,외지인 방문자
202404,수영구,2900558,외지인 방문자
202404,연제구,2475228,외지인 방문자
202404,영도구,1379329,외지인 방문자
202404,중구,3156454,외지인 방문자
202404,해운대구,4970469,외지인 방문자
202405,강서구,3509334,외지인 방문자
202405,금정구,2689718,외지인 방문자
202405,기장군,3667800,외지인 방문자
202405,남구,2609680,외지인 방문자
202405,동구,3172676,외지인 방문자
202405,동래구,3416168,외지인 방문자
202405,부산진구,6223924,외지인 방문자
202405,북구,2117423,외지인 방문자
202405,사상구,2512052,외지인 방문자
202405,사하구,2057328,외지인 방문자
202405,서구,1801198,외지인 방문자
202405,수영구,3319620,외지인 방문자
202405,연제구,2680422,외지인 방문자
202405,영도구,1645119,외지인 방문자
202405,중구,3549906,외지인 방문자
202405,해운대구,5801642,외지인 방문자
202406,강서구,3288313,외지인 방문자
202406,금정구,2342382,외지인 방문자
202406,기장군,3252837,외지인 방문자
202406,남구,2433428,외지인 방문자
202406,동구,3026674,외지인 방문자
202406,동래구,3211061,외지인 방문자
202406,부산진구,5663690,외지인 방문자
202406,북구,1965310,외지인 방문자
202406,사상구,2296581,외지인 방문자
202406,사하구,1895586,외지인 방문자
202406,서구,1693206,외지인 방문자
202406,수영구,3015194,외지인 방문자
202406,연제구,2500344,외지인 방문자
202406,영도구,1523630,외지인 방문자
202406,중구,3227480,외지인 방문자
202406,해운대구,5650904,외지인 방문자
202407,강서구,3428873,외지인 방문자
202407,금정구,2292185,외지인 방문자
202407,기장군,3299412,외지인 방문자
202407,남구,2480474,외지인 방문자
202407,동구,3119910,외지인 방문자
202407,동래구,3294778,외지인 방문자
202407,부산진구,5907300,외지인 방문자
202407,북구,1984500,외지인 방문자
202407,사상구,2300312,외지인 방문자
202407,사하구,1994576,외지인 방문자
202407,서구,1746801,외지인 방문자
202407,수영구,3319228,외지인 방문자
202407,연제구,2583063,외지인 방문자
202407,영도구,1504895,외지인 방문자
202407,중구,3238924,외지인 방문자
202407,해운대구,6023087,외지인 방문자
202408,강서구,3494757,외지인 방문자
202408,금정구,2328770,외지인 방문자
202408,기장군,3646562,외지인 방문자
202408,남구,2499070,외지인 방문자
202408,동구,3255462,외지인 방문자
202408,동래구,3321234,외지인 방문자
202408,부산진구,5917118,외지인 방문자
202408,북구,2010802,외지인 방문자
202408,사상구,2305474,외지인 방문자
202408,사하구,1976020,외지인 방문자
202408,서구,1785728,외지인 방문자
202408,수영구,3594070,외지인 방문자
202408,연제구,2601445,외지인 방문자
202408,영도구,1622652,외지인 방문자
202408,중구,3336588,외지인 방문자
202408,해운대구,6469078,외지인 방문자
202409,강서구,3513534,외지인 방문자
