기준연월,기초지자체,방문자 수,구분
202505,영도구,1940334,현지인 방문자
202506,영도구,1903444,현지인 방문자
202507,영도구,1921318,현지인 방문자
202508,영도구,1861696,현지인 방문자
202509,영도구,1906188,현지인 방문자
202510,영도구,1904928,현지인 방문자
202511,중구,1256714,현지인 방문자
202512,중구,1243554,현지인 방문자
202601,중구,1222032,현지인 방문자
202602,중구,1099242,현지인 방문자
202603,중구,1224170,현지인 방문자
202604,중구,1139579,현지인 방문자
202605,중구,1229074,현지인 방문자
202606,중구,1249178,현지인 방문자
202607,중구,1208862,현지인 방문자
202302,중구,1088878,현지인 방문자
202301,중구,1179832,현지인 방문자
202303,중구,1235941,현지인 방문자
202304,중구,1161279,현지인 방문자
202305,중구,1259458,현지인 방문자
202306,중구,1211147,현지인 방문자
202307,중구,1222252,현지인 방문자
202308,중구,1208546,현지인 방문자
202309,중구,1166274,현지인 방문자
202310,중구,1214384,현지인 방문자
202311,중구,1209848,현지인 방문자
202312,중구,1173400,현지인 방문자
202401,중구,1206814,현지인 방문자
202402,중구,1082207,현지인 방문자
202403,중구,1184978,현지인 방문자
202404,중구,1165336,현지인 방문자
202405,중구,1235392,현지인 방문자
202406,중구,1170722,현지인 방문자
202407,중구,1224528,현지인 방문자
202408,중구,1169018,현지인 방문자
202409,중구,1133800,현지인 방문자
202410,중구,1217234,현지인 방문자
202411,중구,1158734,현지인 방문자
202412,중구,1202628,현지인 방문자
202501,중구,1159666,현지인 방문자
202502,중구,1119314,현지인 방문자
202503,중구,1143502,현지인 방문자
202504,중구,1150149,현지인 방문자
202505,중구,1196874,현지인 방문자
202506,중구,1188268,현지인 방문자
202507,중구,1245776,현지인 방문자
202508,중구,1184200,현지인 방문자
202509,중구,1256944,현지인 방문자
202510,중구,1208459,현지인 방문자
202511,해운대구,7624354,현지인 방문자
202512,해운대구,7742077,현지인 방문자
202601,해운대구,7599078,현지인 방문자
202602,해운대구,6787210,현지인 방문자
202603,해운대구,7655266,현지인 방문자
