연월,분석차원,분류,신설법인수,부산전체신설법인수,비중_pct,전월대비증감률_pct,전년동월대비증감률_pct,3개월이동평균,데이터상태,출처파일,검증_주의
202403,업종,서비스업,114,366,31.15,18.75,15.15,113.67,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,업종,기타,5,366,1.37,-16.67,-44.44,5.33,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202404,업종,제조업,43,372,11.56,10.26,10.26,42.33,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202404,업종,건설업,32,372,8.6,28.0,6.67,31.0,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202404,업종,유통업,97,372,26.08,-1.02,11.49,86.67,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202404,업종,운수업,20,372,5.38,53.85,42.86,13.33,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202404,업종,정보통신업,20,372,5.38,-13.04,-25.93,22.0,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202404,업종,부동산 및 장비임대업,48,372,12.9,-2.04,-22.58,48.67,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202404,업종,서비스업,101,372,27.15,-11.4,-3.81,103.67,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202404,업종,기타,11,372,2.96,120.0,120.0,7.33,원문확인,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202405,업종,제조업,55,360,15.28,27.91,10.0,45.67,원문확인,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202405,업종,건설업,34,360,9.44,6.25,-8.11,30.33,원문확인,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202405,업종,유통업,99,360,27.5,2.06,13.79,98.0,원문확인,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202405,업종,운수업,10,360,2.78,-50.0,-23.08,14.33,원문확인,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202405,업종,정보통신업,21,360,5.83,5.0,-12.5,21.33,원문확인,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202405,업종,부동산 및 장비임대업,39,360,10.83,-18.75,-25.0,45.33,원문확인,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202405,업종,서비스업,91,360,25.28,-9.9,-15.74,102.0,원문확인,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202405,업종,기타,11,360,3.06,0.0,0.0,9.0,원문확인,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,업종,제조업,64,317,20.19,16.36,36.17,54.0,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,업종,건설업,18,317,5.68,-47.06,-47.06,28.0,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,업종,유통업,85,317,26.81,-14.14,8.97,93.67,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,업종,운수업,20,317,6.31,100.0,33.33,16.67,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,업종,정보통신업,12,317,3.79,-42.86,-42.86,17.67,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,업종,부동산 및 장비임대업,41,317,12.93,5.13,-29.31,42.67,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,업종,서비스업,72,317,22.71,-20.88,-40.98,88.0,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,업종,기타,5,317,1.58,-54.55,-37.5,9.0,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202407,업종,제조업,66,397,16.62,3.12,22.22,61.67,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202407,업종,건설업,34,397,8.56,88.89,-17.07,28.67,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202407,업종,유통업,101,397,25.44,18.82,5.21,95.0,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202407,업종,운수업,12,397,3.02,-40.0,-25.0,14.0,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202407,업종,정보통신업,29,397,7.3,141.67,45.0,20.67,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202407,업종,부동산 및 장비임대업,46,397,11.59,12.2,-31.34,42.0,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202407,업종,서비스업,103,397,25.94,43.06,-10.43,88.67,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202407,업종,기타,6,397,1.51,20.0,50.0,7.33,원문확인,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202408,업종,제조업,42,310,13.55,-36.36,-23.64,57.33,원문확인,2._2024년_8월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202408,업종,건설업,29,310,9.35,-14.71,-9.38,27.0,원문확인,2._2024년_8월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202408,업종,유통업,87,310,28.06,-13.86,7.41,91.0,원문확인,2._2024년_8월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202408,업종,운수업,10,310,3.23,-16.67,42.86,14.0,원문확인,2._2024년_8월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202408,업종,정보통신업,16,310,5.16,-44.83,-15.79,19.0,원문확인,2._2024년_8월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202408,업종,부동산 및 장비임대업,38,310,12.26,-17.39,-33.33,41.67,원문확인,2._2024년_8월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202408,업종,서비스업,82,310,26.45,-20.39,-16.33,85.67,원문확인,2._2024년_8월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202408,업종,기타,6,310,1.94,0.0,0.0,5.67,원문확인,2._2024년_8월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
