연월,행정구,신설법인수,부산전체신설법인수,부산전체대비비중_pct,원문비중_pct,월내순위,전월대비증감수,전월대비증감률_pct,전년동월대비증감수,전년동월대비증감률_pct,3개월이동평균,6개월이동평균,데이터상태,수치생성방식,출처파일,검증_주의
202404,중구,16,372,4.3,4.3,12,6,60.0,,,11.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,서구,2,372,0.54,0.5,16,-11,-84.62,,,6.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,영도구,9,372,2.42,2.4,14,0,0.0,,,8.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,강서구,47,360,13.06,13.1,2,1,2.17,,,44.0,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,해운대구,69,360,19.17,19.2,1,20,40.82,,,64.33,,비중역산_합계검증,원문 직접 기재 개체수,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,부산진구,34,360,9.44,9.4,3,-20,-37.04,,,42.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,기장군,15,360,4.17,4.2,12,-4,-21.05,,,16.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,남구,21,360,5.83,5.8,8,-4,-16.0,,,23.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,동래구,22,360,6.11,6.1,6,13,144.44,,,19.0,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,수영구,18,360,5.0,5.0,9,-5,-21.74,,,18.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,연제구,23,360,6.39,6.4,5,4,21.05,,,20.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,사상구,16,360,4.44,4.4,10,-3,-15.79,,,17.0,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
