연월,행정구,신설법인수
202605,동구,19
202605,동래구,6
202605,부산진구,39
202605,북구,12
202605,사상구,30
202605,사하구,15
202605,서구,9
202605,수영구,24
202605,연제구,16
202605,영도구,8
202605,중구,10
202605,해운대구,50
202606,강서구,52
202606,금정구,11
202606,기장군,25
202606,남구,19
202606,동구,13
202606,동래구,20
202606,부산진구,31
202606,북구,16
202606,사상구,17
202606,사하구,15
202606,서구,10
202606,수영구,22
202606,연제구,22
202606,영도구,7
202606,중구,17
202606,해운대구,60
202607,강서구,45
202607,금정구,23
202607,기장군,19
202607,남구,18
202607,동구,18
202607,동래구,24
202607,부산진구,44
202607,북구,8
202607,사상구,20
202607,사하구,22
202607,서구,7
202607,수영구,18
202607,연제구,15
202607,영도구,9
202607,중구,15
202607,해운대구,60
