구군,연월,주요유료관광지입장객수,집계관광지수
남구,202307,,
남구,202308,,
남구,202309,,
남구,202310,,
남구,202311,,
남구,202312,,
남구,202401,,
남구,202402,,
남구,202403,,
남구,202404,,
남구,202405,,
남구,202406,,
남구,202407,,
남구,202408,,
남구,202409,,
남구,202410,,
남구,202411,,
남구,202412,,
남구,202501,,
남구,202502,,
남구,202503,,
남구,202504,,
남구,202505,,
남구,202506,,
남구,202507,,
남구,202508,,
남구,202509,,
남구,202510,,
남구,202511,,
남구,202512,,
남구,202601,,
남구,202602,,
남구,202603,,
남구,202604,,
남구,202605,,
남구,202606,,
북구,202301,1701.0,3.0
북구,202302,1793.0,3.0
북구,202303,1811.0,3.0
북구,202304,4187.0,3.0
북구,202305,4808.0,3.0
북구,202306,4859.0,2.0
북구,202307,7876.0,2.0
북구,202308,9181.0,2.0
북구,202309,4496.0,2.0
북구,202310,5350.0,2.0
북구,202311,7339.0,2.0
북구,202312,8614.0,2.0
북구,202401,8222.0,2.0
북구,202402,6403.0,2.0
북구,202403,2549.0,2.0
북구,202404,15.0,2.0
북구,202405,202.0,2.0
북구,202406,1560.0,2.0
북구,202407,1834.0,2.0
북구,202408,1917.0,2.0
북구,202409,1880.0,2.0
북구,202410,2075.0,2.0
북구,202411,2380.0,2.0
북구,202412,2266.0,2.0
북구,202501,2452.0,2.0
북구,202502,2712.0,2.0
북구,202503,1906.0,2.0
북구,202504,1911.0,2.0
북구,202505,2206.0,2.0
북구,202506,2397.0,2.0
북구,202507,2728.0,2.0
북구,202508,2441.0,2.0
북구,202509,2836.0,2.0
북구,202510,2542.0,2.0
북구,202511,2444.0,2.0
북구,202512,2685.0,2.0
북구,202601,0.0,2.0
북구,202602,0.0,2.0
북구,202603,0.0,2.0
북구,202604,0.0,2.0
북구,202605,0.0,2.0
북구,202606,0.0,2.0
해운대구,202301,49953.0,1.0
해운대구,202302,54652.0,1.0
해운대구,202303,32509.0,1.0
해운대구,202304,49695.0,1.0
해운대구,202305,59631.0,1.0
해운대구,202306,56353.0,1.0
해운대구,202307,74430.0,1.0
해운대구,202308,88638.0,1.0
해운대구,202309,50348.0,1.0
해운대구,202310,51799.0,1.0
해운대구,202311,40922.0,1.0
해운대구,202312,63624.0,1.0
해운대구,202401,46348.0,1.0
해운대구,202402,49018.0,1.0
